Name,Age,NetWorth,,,,,,
Richard White,67,4000000000,,,,,,
Baoguo Zhu & family,60,4500000000,,,,,,
Michael Ashley,57,4700000000,,,,,,
Ron Baron,79,4400000000,,,,,,
Bert Beveridge,60,5000000000,,,,,,
Todd Boehly,48,4500000000,,,,,,
David Bonderman,79,4500000000,,,,,,
Guo Guangchang,55,4600000000,,,,,,
Daryl Katz,60,4400000000,,,,,,
Ted Lerner & family,96,4200000000,,,,,,
Falguni Nayar,59,4700000000,,,,,,
Trevor Rees-Jones,70,4500000000,,,,,,
J. Joe Ricketts & family,80,4000000000,,,,,,
Robert Rowling,68,4400000000,,,,,,
Mark Stevens,62,4100000000,,,,,,
Gustav Magnar Witzoe,29,4700000000,,,,,,
Xie Liangzhi & family,56,3600000000,,,,,,
Yeung Kin-man,58,4500000000,,,,,,
Andrej Babis,67,4400000000,,,,,,
Giuseppe De'Longhi & family,83,4100000000,,,,,,
Barry Diller,80,3900000000,,,,,,
Christian Haub,57,4300000000,,,,,,
Huang Li,58,3800000000,,,,,,
Marian Ilitch,89,4300000000,,,,,,
Suleiman Kerimov & family,56,15100000000,,,,,,
Edwin Leong,70,4400000000,,,,,,
Lu Yiwen,35,3400000000,,,,,,
N.R. Narayana Murthy,75,3700000000,,,,,,
N.R. Narayana Murthy,75,3700000000,,,,,,
Pyotr Aven,67,4600000000,,,,,,
Joesley Batista,50,4700000000,,,,,,
Wesley Batista,49,4700000000,,,,,,
Margot Birmingham Perot,88,4400000000,,,,,,
Rick Caruso,63,4300000000,,,,,,
Jim Davis,62,4100000000,,,,,,
Walter P.J. Droege,69,4000000000,,,,,,
Dan Friedkin,57,4300000000,,,,,,
Gao Dekang & family,70,4800000000,,,,,,
Antti Herlin,65,4000000000,,,,,,
W. Herbert Hunt,93,5100000000,,,,,,
Jason Jiang,49,4000000000,,,,,,
"Rupert Johnson, Jr.",81,4200000000,,,,,,
Vikram Lal & family,80,5100000000,,,,,,
Chris Larsen,61,3300000000,,,,,,
Richard Schulze,81,4000000000,,,,,,
Paul Singer,77,4300000000,,,,,,
Barry Sternlicht,61,4300000000,,,,,,
Su Hua,40,4800000000,,,,,,
Mark Walter,62,3900000000,,,,,,
Ty Warner,77,4200000000,,,,,,
Rinat Akhmetov,55,4400000000,,,,,,
Bernard Broermann,78,4000000000,,,,,,
Chung Mong-Koo,84,4400000000,,,,,,
Daniel D'Aniello,75,4100000000,,,,,,
Traudl Engelhorn & family,95,4200000000,,,,,,
Piero Ferrari,77,4100000000,,,,,,
Carlo Fidani,67,4200000000,,,,,,
Yakir Gabay,56,4000000000,,,,,,
Jaime Gilinski Bacal,64,4500000000,,,,,,
Bertil Hult,81,4200000000,,,,,,
Martha Ingram & family,86,4200000000,,,,,,
Lee Yin Yee,70,4200000000,,,,,,
Daniel Loeb,60,4200000000,,,,,,
Janice McNair,85,4200000000,,,,,,
Ajay Piramal,66,3800000000,,,,,,
Lynsi Snyder,40,4200000000,,,,,,
Peter Spuhler,62,4100000000,,,,,,
Kerry Stokes,81,3700000000,,,,,,
Jon Stryker,64,3900000000,,,,,,
Vincent Viola,66,3700000000,,,,,,
Romesh T. Wadhwani,74,4200000000,,,,,,
Juan Domingo Beckmann Legorreta & family,54,4200000000,,,,,,
Rafael Del Pino,63,3900000000,,,,,,
Sergey Dmitriev,56,4100000000,,,,,,
Senapathy Gopalakrishnan,67,3400000000,,,,,,
James Irving,94,4100000000,,,,,,
Lee Boo-jin,51,3900000000,,,,,,
Samuel Tak Lee,83,4000000000,,,,,,
Thai Lee,63,4100000000,,,,,,
Eric Lefkofsky,52,4100000000,,,,,,
Weiguo Li,57,4100000000,,,,,,
Ermirio Pereira de Moraes & family,90,4300000000,,,,,,
Maria Helena Moraes Scripilliti & family,91,4300000000,,,,,,
Thomas Secunda,67,4100000000,,,,,,
Shaul Shani,67,4100000000,,,,,,
E. Joe Shoen,72,3700000000,,,,,,
Steven Udvar-Hazy,76,4100000000,,,,,,
Russ Weiner,52,4100000000,,,,,,
Guanjiang Wu & family,53,3500000000,,,,,,
Anil Agarwal & family,68,2900000000,,,,,,
Somphote Ahunai,55,4100000000,,,,,,
Patrizio Bertelli,76,4700000000,,,,,,
Rakesh Gangwal,68,3900000000,,,,,,
Paul Gauselmann & family,87,3900000000,,,,,,
Hao Hong,66,3000000000,,,,,,
He Xiaopeng,44,4000000000,,,,,,
Michael Herz,78,4500000000,,,,,,
Wolfgang Herz,71,4500000000,,,,,,
Arthur Irving,92,4600000000,,,,,,
Victor Jacobsson,40,4000000000,,,,,,
Marc Ladreit de Lacharriere,81,3900000000,,,,,,
Patrick Lee,80,3700000000,,,,,,
Max Lytvyn,42,4000000000,,,,,,
Gilles Martin,58,4000000000,,,,,,
Ramzi Musallam,53,4000000000,,,,,,
Georg Nemetschek & family,88,3500000000,,,,,,
Akio Nitori,78,2900000000,,,,,,
Daniel Och,61,4000000000,,,,,,
Pankaj Patel,69,4000000000,,,,,,
John Paulson,66,4000000000,,,,,,
Miuccia Prada,73,4700000000,,,,,,
Jean (Gigi) Pritzker,59,3900000000,,,,,,
Juan Roig,72,3700000000,,,,,,
David Rubenstein,72,3900000000,,,,,,
Howard Schultz,68,3800000000,,,,,,
Alex Shevchenko,42,4000000000,,,,,,
Dan Snyder,57,4000000000,,,,,,
Jerzy Starak,74,4100000000,,,,,,
Kelcy Warren,66,4500000000,,,,,,
Herbert Wertheim,83,3900000000,,,,,,
Cameron Winklevoss,40,3700000000,,,,,,
Tyler Winklevoss,40,3700000000,,,,,,
Denise York & family,71,4000000000,,,,,,
Zhao Lixin,56,3100000000,,,,,,
Hubert Burda,82,3200000000,,,,,,
Francesco Gaetano Caltagirone,79,3800000000,,,,,,
Li Xiang,40,4500000000,,,,,,
"Stephen Mandel, Jr.",66,3900000000,,,,,,
Gabe Newell,59,3900000000,,,,,,
Maja Oeri,67,3700000000,,,,,,
Neil Shen,54,4200000000,,,,,,
Helmut Sohmen,82,4400000000,,,,,,
Donald Sterling,88,3900000000,,,,,,
Don Vultaggio & family,70,4200000000,,,,,,
Wu Yiling,72,3000000000,,,,,,
Gongshan Zhu,64,3700000000,,,,,,
Gayle Benson,75,3800000000,,,,,,
"William Conway, Jr.",72,3600000000,,,,,,
Gurbachan Singh Dhingra,72,3400000000,,,,,,
Kuldip Singh Dhingra,74,3400000000,,,,,,
Luca Garavoglia,53,3900000000,,,,,,
Jimmy Haslam,68,3900000000,,,,,,
Susan Carol Holland,66,3200000000,,,,,,
Timur Kulibaev,55,3700000000,,,,,,
Dinara Kulibaeva,54,3700000000,,,,,,
Michel Leclercq & family,83,3300000000,,,,,,
Pablo Legorreta,58,4000000000,,,,,,
Margarita Louis-Dreyfus & family,60,4000000000,,,,,,
Michael Milken,75,3800000000,,,,,,
Denis O'Brien,64,3900000000,,,,,,
Katharina Otto-Bernstein,58,3500000000,,,,,,
James Packer,54,3800000000,,,,,,
Sergio Stevanato & family,79,4000000000,,,,,,
Leena Tewari,64,3800000000,,,,,,
Yitzhak Tshuva,73,3900000000,,,,,,
Paul-Heinz Wesjohann & family,79,3700000000,,,,,,
Zeng Fangqin,56,3100000000,,,,,,
Zhou Bajin,87,3600000000,,,,,,
William Berkley,75,4100000000,,,,,,
John Catsimatidis,73,3700000000,,,,,,
Che Jianxing,55,2900000000,,,,,,
Gustavo Denegri,85,3500000000,,,,,,
Charles Edelstenne,84,3400000000,,,,,,
Reed Hastings,61,2700000000,,,,,,
"Amos Hostetter, Jr.",85,3700000000,,,,,,
Brad Jacobs,65,3300000000,,,,,,
Friedrich Knapp,71,3600000000,,,,,,
William Lauder,62,3600000000,,,,,,
Richard LeFrak & family,76,3600000000,,,,,,
Li Guoqiang,58,4400000000,,,,,,
Low Tuck Kwong,74,4700000000,,,,,,
Akira Mori & family,85,3300000000,,,,,,
Anthony Pritzker,61,3700000000,,,,,,
Ira Rennert,88,3700000000,,,,,,
"Bernard Saul, II.",90,3700000000,,,,,,
Shi Yonghong & family,53,4000000000,,,,,,
Song Chi-hyung,43,3600000000,,,,,,
Steven Spielberg,75,3700000000,,,,,,
Wong Luen Hei,60,3600000000,,,,,,
Danielle Bellon & family,82,3400000000,,,,,,
Byju Raveendran and Divya Gokulnath,40,3500000000,,,,,,
Cho Tak Wong,76,3600000000,,,,,,
Charles Cohen,70,3600000000,,,,,,
Kenneth Dart,67,4600000000,,,,,,
Martin Ebner,76,3600000000,,,,,,
David Filo,56,3600000000,,,,,,
Miguel Fluxa Rossello,83,3500000000,,,,,,
John Henry,72,3600000000,,,,,,
Hu Kaijun,60,3600000000,,,,,,
Peter Kellogg,79,3500000000,,,,,,
James Leprino,84,3700000000,,,,,,
Iskander Makhmudov,58,6800000000,,,,,,
Daniel Mate,58,3600000000,,,,,,
Aristotelis Mistakidis,60,3600000000,,,,,,
Arturo Moreno,75,3600000000,,,,,,
Nan Cunhui,58,2700000000,,,,,,
Julio Ponce Lerou,76,4200000000,,,,,,
J.B. Pritzker,57,3600000000,,,,,,
Chandru Raheja,81,3700000000,,,,,,
Rodger Riney & family,76,3600000000,,,,,,
Shi Yuzhu,59,3200000000,,,,,,
Zuowen Song,75,3200000000,,,,,,
Jerry Speyer,81,3600000000,,,,,,
Julia Thiele-Schuerhoff,50,3400000000,,,,,,
Tung Chee Chen,79,3600000000,,,,,,
Roger Wang,73,3500000000,,,,,,
Wu Shaoxun,66,3400000000,,,,,,
Wenzhong Zhang,60,3500000000,,,,,,
Chen Kaixuan,64,3300000000,,,,,,
Beatriz Davila de Santo Domingo,83,3500000000,,,,,,
Antonio Del Valle Ruiz & family,83,3700000000,,,,,,
Carl Douglas,61,3000000000,,,,,,
Eric Douglas,54,3000000000,,,,,,
Jiangtao Du & family,52,3000000000,,,,,,
Juan Carlos Escotet,62,3400000000,,,,,,
Fiona Geminder,57,3400000000,,,,,,
Yuhua Gu & family,72,3300000000,,,,,,
James Irsay,62,3500000000,,,,,,
Kuok Khoon Hong,72,3300000000,,,,,,
Aerin Lauder,52,3300000000,,,,,,
Lee Seo-hyun,48,3400000000,,,,,,
Li Yongxin & family,46,2700000000,,,,,,
Jeffrey Lurie,70,3500000000,,,,,,
Mary Alice Dorrance Malone,72,3800000000,,,,,,
Ronald McAulay,86,3500000000,,,,,,
Apoorva Mehta,35,2200000000,,,,,,
Arnon Milchan,77,3400000000,,,,,,
Masahiro Noda,83,3500000000,,,,,,
Renzo Rosso & family,66,3200000000,,,,,,
Lynn Schusterman,83,3500000000,,,,,,
Gil Shwed,53,3300000000,,,,,,
Thomas Siebel,69,3500000000,,,,,,
Herb Simon,87,3300000000,,,,,,
Friede Springer,79,3400000000,,,,,,
Wang Zhenhua,60,3300000000,,,,,,
Hans Peter Wild,80,3400000000,,,,,,
"William Wrigley, Jr.",58,3500000000,,,,,,
Xia Zuoquan,60,4300000000,,,,,,
Mohed Altrad,74,3300000000,,,,,,
Sid Bass,80,3700000000,,,,,,
Nick Caporella,86,4100000000,,,,,,
Cheng Yixiao,38,3800000000,,,,,,
Wesley Edens,60,4500000000,,,,,,
Behdad Eghbali,46,3400000000,,,,,,
Archie Aldis Emmerson & family,93,3300000000,,,,,,
Jose E. Feliciano,49,3400000000,,,,,,
Fu Liquan & family,54,3000000000,,,,,,
David Gottesman,96,3300000000,,,,,,
Laurence Graff & family,83,3400000000,,,,,,
Jeff T. Green,45,3200000000,,,,,,
Jim Kavanaugh,59,3400000000,,,,,,
Steven Klinsky,66,3400000000,,,,,,
John Middleton,67,3400000000,,,,,,
Jerry Ng,56,2000000000,,,,,,
Tengyun Nie & family,46,2800000000,,,,,,
Nandan Nilekani,66,2900000000,,,,,,
Bob Parsons,71,3400000000,,,,,,
Prasert Prasarttong-Osoth,89,3400000000,,,,,,
Qiu Guanghe & family,70,3000000000,,,,,,
Richard Sands,71,4100000000,,,,,,
Robert Sands,63,4100000000,,,,,,
T. Denny Sanford,86,3400000000,,,,,,
Naguib Sawiris,67,3400000000,,,,,,
Pavel Tykac,58,3500000000,,,,,,
Todd Wanek,58,3300000000,,,,,,
Meg Whitman,65,3200000000,,,,,,
Michael Xie,53,3500000000,,,,,,
Chenghai Ye & family,78,3400000000,,,,,,
An Kang,73,2500000000,,,,,,
John Arnold,48,3300000000,,,,,,
Arun Bharat Ram,81,3500000000,,,,,,
Tomasz Biernacki,49,3500000000,,,,,,
Travis Boersma,51,2700000000,,,,,,
Dongsheng Chen,64,3300000000,,,,,,
Jean Coutu & family,95,3200000000,,,,,,
Ralph Dommermuth,58,3300000000,,,,,,
Walter Faria,67,3500000000,,,,,,
Bob Gaglardi,81,3300000000,,,,,,
John Gandel,87,3300000000,,,,,,
Xuande Hua & family,78,2800000000,,,,,,
Micky Jagtiani,70,3300000000,,,,,,
H. Fisk Johnson,64,3400000000,,,,,,
S. Curtis Johnson,67,3400000000,,,,,,
Helen Johnson-Leipold,65,3400000000,,,,,,
Miguel Krigsner,72,3500000000,,,,,,
Li Jianquan & family,65,2700000000,,,,,,
Lin Ming-hsiung,72,3200000000,,,,,,
Winifred J. Marquart,63,3400000000,,,,,,
Kiran Mazumdar-Shaw,69,3200000000,,,,,,
Patrice Motsepe,60,3100000000,,,,,,
Alfred Oetker,55,3200000000,,,,,,
Carl Ferdinand Oetker,49,3200000000,,,,,,
Julia Oetker,43,3200000000,,,,,,
Or Wai Sheun,71,3300000000,,,,,,
Jay Paul,74,3000000000,,,,,,
Horst Paulmann & family,87,2900000000,,,,,,
Theodore Rachmat,78,3300000000,,,,,,
John Sall,74,3100000000,,,,,,
Stefan von Holtzbrinck,59,2900000000,,,,,,
Nusli Wadia,78,3600000000,,,,,,
Steve Wynn,80,3300000000,,,,,,
Yang Weidong & family,53,2800000000,,,,,,
Barry Zekelman,55,3300000000,,,,,,
Zhang Shilong & family,56,2700000000,,,,,,
Zhong Ruonong & family,59,2300000000,,,,,,
Cameron Adams,42,3200000000,,,,,,
Dongchen Cai,69,3000000000,,,,,,
Vanich Chaiyawan,90,3100000000,,,,,,
James Clark,78,3000000000,,,,,,
Jack Cowin,79,2900000000,,,,,,
Giuseppe Crippa & family,87,3900000000,,,,,,
Sergei Galitsky,54,3300000000,,,,,,
Peter Gilgan,71,2900000000,,,,,,
Joseph Grendys,60,3300000000,,,,,,
Thomas Hagen,86,3100000000,,,,,,
"Robert Hale, Jr.",55,3200000000,,,,,,
Michael Hintze,68,3200000000,,,,,,
Pansy Ho,59,3100000000,,,,,,
Alan Howard,58,3200000000,,,,,,
Kei Hoi Pang,56,3400000000,,,,,,
Rudy Ma,81,3000000000,,,,,,
Najib Mikati,66,3000000000,,,,,,
Taha Mikati,77,3000000000,,,,,,
Gail Miller,78,4000000000,,,,,,
Vikas Oberoi,51,2800000000,,,,,,
"H. Ross Perot, Jr.",63,3200000000,,,,,,
Candido Pinheiro Koren de Lima,75,2000000000,,,,,,
Matthew Prince,47,2000000000,,,,,,
Penny Pritzker,63,3200000000,,,,,,
Yasumitsu Shigeta,57,3100000000,,,,,,
Sebastian Siemiatkowski,40,3200000000,,,,,,
Barry Silbert,46,3200000000,,,,,,
Daniel Sundheim,45,3200000000,,,,,,
Rita Tong Liu,73,3200000000,,,,,,
Tran Dinh Long,61,2300000000,,,,,,
Zhang Daocai,72,3200000000,,,,,,
John Caudwell,69,3000000000,,,,,,
Walter Frey,78,3000000000,,,,,,
Alessandra Garavoglia,62,3200000000,,,,,,
Peter Gassner,57,3000000000,,,,,,
Mitchell Goldhar,60,3000000000,,,,,,
Otto Happel,74,3000000000,,,,,,
Peter Hargreaves,75,2700000000,,,,,,
Bom Kim,43,2300000000,,,,,,
Gaiteng Li,50,4100000000,,,,,,
Liufa Li & family,65,2900000000,,,,,,
Lu Weiding,51,3000000000,,,,,,
Harsh Mariwala,71,3100000000,,,,,,
Samir Mehta,58,3100000000,,,,,,
Sudhir Mehta,68,3100000000,,,,,,
Pawan Munjal & family,68,3500000000,,,,,,
Nguyen Thi Phuong Thao,51,2900000000,,,,,,
Madhukar Parekh,75,2900000000,,,,,,
Sergei Popov,50,3100000000,,,,,,
Haim Saban,77,3100000000,,,,,,
Karthik Sarma,47,3100000000,,,,,,
Klaus-Peter Schulenberg,70,3100000000,,,,,,
Pat Stryker,66,2900000000,,,,,,
Jeff Sutton,62,3100000000,,,,,,
Jon Yarbrough,65,3100000000,,,,,,
Gang Ye,42,2700000000,,,,,,
Yi Zheng,51,2600000000,,,,,,
Zhang Fan,56,2200000000,,,,,,
William Ackman,56,2900000000,,,,,,
Markus Blocher,51,3200000000,,,,,,
Neal Blue & family,87,3000000000,,,,,,
Eva Maria Bucher-Haefner,65,3000000000,,,,,,
Chang Kuo-Hua,67,2700000000,,,,,,
Todd Christopher,59,3000000000,,,,,,
Euisun Chung,51,3500000000,,,,,,
Bernard Ecclestone & family,91,3000000000,,,,,,
Michael Federmann & family,78,3000000000,,,,,,
Gudrun Heine,67,3000000000,,,,,,
Heidi Horten,81,2900000000,,,,,,
Dawen Huang,61,2200000000,,,,,,
Sheldon Lavin,89,3000000000,,,,,,
Li Min,56,2200000000,,,,,,
Liang Yunchao,53,2500000000,,,,,,
Joseph Liemandt,53,3000000000,,,,,,
Strive Masiyiwa,61,2500000000,,,,,,
Masahiro Miki,66,3000000000,,,,,,
Karsanbhai Patel,78,2800000000,,,,,,
Arvind Poddar,64,3400000000,,,,,,
Remo Ruffini,60,2800000000,,,,,,
Eddy Kusnadi Sariaatmadja,68,2600000000,,,,,,
Sybill Storz,85,3000000000,,,,,,
Lawrence Stroll,62,2900000000,,,,,,
Michael Tojner,56,2800000000,,,,,,
Donald Trump,75,3000000000,,,,,,
Tsai Ming-kai,72,2800000000,,,,,,
John Tyson,68,3000000000,,,,,,
Rufino Vigil Gonzalez,74,3100000000,,,,,,
Ning Wang & family,35,2800000000,,,,,,
Wang Yusuo & family,58,4600000000,,,,,,
Zhigang Wu & family,87,2700000000,,,,,,
Xie Juhua & family,71,2400000000,,,,,,
Oren Zeev,57,3000000000,,,,,,
Charles Zegar,74,3000000000,,,,,,
Zhang Lei,49,3000000000,,,,,,
Zhang Xin & Pan Shiyi,56,2800000000,,,,,,
Mortimer Zuckerman,84,2900000000,,,,,,
Juan Abello,80,2800000000,,,,,,
John Armitage,62,2900000000,,,,,,
Bang Si-hyuk,49,2300000000,,,,,,
Miriam Baumann-Blocher,47,2800000000,,,,,,
Riley Bechtel & family,70,2900000000,,,,,,
Wilhelm Beier & family,66,2500000000,,,,,,
Nicolas Berggruen,60,2900000000,,,,,,
Bui Thanh Nhon,64,2900000000,,,,,,
Cao Longxiang & family,64,2600000000,,,,,,
Deng Wen,54,2900000000,,,,,,
Daniel Dines,50,1900000000,,,,,,
Joseph Edelman,66,2900000000,,,,,,
N. Murray Edwards,62,3000000000,,,,,,
Jane Goldman,66,2900000000,,,,,,
Guo Zhenyu & family,58,3200000000,,,,,,
Stewart Horejsi & family,84,2800000000,,,,,,
Zhenda Huang & family,74,2800000000,,,,,,
"Jeremy Jacobs, Sr. & family",82,2900000000,,,,,,
Hamilton James,70,2900000000,,,,,,
Valentin Kipyatkov,45,2900000000,,,,,,
Li Zhongchu,58,2500000000,,,,,,
Martin Lorentzon,53,2600000000,,,,,,
"Drayton McLane, Jr.",85,2800000000,,,,,,
Roger Penske,85,2900000000,,,,,,
Olivier Pomel,45,2400000000,,,,,,
Jean Salata,56,5400000000,,,,,,
Arnout Schuijff,54,2600000000,,,,,,
Shen Hua & family,59,2800000000,,,,,,
Martua Sitorus,62,2700000000,,,,,,
Zygmunt Solorz-Zak,65,2500000000,,,,,,
Warren Stephens,65,2900000000,,,,,,
Tang Jinkui & family,66,2600000000,,,,,,
Alan Trefler,66,2000000000,,,,,,
Masateru Uno & family,75,2100000000,,,,,,
Frank VanderSloot,73,3000000000,,,,,,
Guangming Wu,60,2300000000,,,,,,
Kai Wu,54,2400000000,,,,,,
Ye Fan & family,51,2800000000,,,,,,
Yoo Jung-hyun,53,3200000000,,,,,,
Fenggang Zhao,56,2400000000,,,,,,
Zheng Xiaodong,58,2100000000,,,,,,
Zhou Jianping,62,2600000000,,,,,,
Jose Joao Abdalla Filho,77,3200000000,,,,,,
Brian Acton,50,2800000000,,,,,,
Bill Alfond,74,2700000000,,,,,,
Susan Alfond,76,2700000000,,,,,,
Ted Alfond,77,2700000000,,,,,,
Felix Baker,53,2800000000,,,,,,
Julian Baker,56,2800000000,,,,,,
Maurizio Billi,64,3000000000,,,,,,
Otto Philipp Braun,44,2800000000,,,,,,
Garrett Camp,43,2200000000,,,,,,
Cao Ji,70,2600000000,,,,,,
Hua Chen,56,2600000000,,,,,,
John Paul DeJoria,78,2800000000,,,,,,
Beda Diethelm,81,2600000000,,,,,,
K. Dinesh,67,2400000000,,,,,,
Bennett Dorrance,76,3000000000,,,,,,
Marcel Erni,57,2600000000,,,,,,
Abhay Firodia,77,2600000000,,,,,,
Alfred Gantner,54,2600000000,,,,,,
Amy Goldman Fowler,68,2800000000,,,,,,
J. Tomilson Hill,74,2800000000,,,,,,
Hong Jie,54,3500000000,,,,,,
James Jannard,72,2800000000,,,,,,
Travis Kalanick,45,2800000000,,,,,,
Diane Kemper,76,2800000000,,,,,,
George Kurtz,51,2400000000,,,,,,
Kwek Leng Beng,81,2400000000,,,,,,
Geoffrey Kwok,37,2900000000,,,,,,
Maritsa Lazari & family,77,2700000000,,,,,,
Alexis Lê-Quôc,47,2300000000,,,,,,
Angela Leong,61,2700000000,,,,,,
Lin Chen-hai,75,2800000000,,,,,,
Sergio Mantegazza,94,2800000000,,,,,,
Hans Melchers,84,2600000000,,,,,,
Tom Morris,67,2500000000,,,,,,
Eugene Murtagh,79,2300000000,,,,,,
Philip Niarchos,68,2800000000,,,,,,
Pan Dong,57,3600000000,,,,,,
Sean Parker,42,2800000000,,,,,,
Richard Peery,83,2700000000,,,,,,
Gregorio Perez Companc & family,86,2700000000,,,,,,
Sebastian Piñera & family,72,2700000000,,,,,,
Nicholas Pritzker,78,2800000000,,,,,,
Jeff Rothschild,67,2800000000,,,,,,
Steven Sarowitz,56,2600000000,,,,,,
Isabella Seràgnoli,76,2700000000,,,,,,
Stephen Smith,71,2700000000,,,,,,
William Stone,67,2400000000,,,,,,
Sun Hongbin,59,2500000000,,,,,,
Sun Shoukuan,72,2600000000,,,,,,
"Henry Sy, Jr.",69,2700000000,,,,,,
Andrew Tan,70,2400000000,,,,,,
Kenneth Tuchman,62,2500000000,,,,,,
Tung Chee Hwa,84,2800000000,,,,,,
Bulat Utemuratov,64,2800000000,,,,,,
Xicheng Wang & family,73,2600000000,,,,,,
Urs Wietlisbach,60,2600000000,,,,,,
Wong Man Li,57,2700000000,,,,,,
Xie Weitong,65,2700000000,,,,,,
Xu Chuanhua & family,87,2400000000,,,,,,
Ye Xiaoping,59,2400000000,,,,,,
Weiguo Zhao,55,2300000000,,,,,,
Ben Ashkenazy,52,2600000000,,,,,,
Bill Austin,80,2700000000,,,,,,
Pavel Baudis,62,2100000000,,,,,,
Yvonne Bauer,45,2600000000,,,,,,
Giuliana Benetton,84,3200000000,,,,,,
Luciano Benetton,87,3200000000,,,,,,
Aneel Bhusri,56,2100000000,,,,,,
George Bishop,84,2700000000,,,,,,
Vivek Chand Burman,85,2600000000,,,,,,
Morris Chang,90,2500000000,,,,,,
Jinxia Chen,54,2500000000,,,,,,
Cho Jung-ho,63,2800000000,,,,,,
Jack Cockwell,81,2700000000,,,,,,
"Edward DeBartolo, Jr.",75,2500000000,,,,,,
Abilio dos Santos Diniz,85,2900000000,,,,,,
"John Dorrance, III.",78,2700000000,,,,,,
Hailiang Feng,61,2500000000,,,,,,
Xingjiang Gao,58,2500000000,,,,,,
Carlos Hank Rhon,74,2700000000,,,,,,
Vivek Jain,66,2800000000,,,,,,
Brad Kelley,65,2700000000,,,,,,
Alicia Koplowitz,68,2700000000,,,,,,
Li Li,56,2800000000,,,,,,
C. Dean Metropoulos,76,2700000000,,,,,,
Dan Olsson,75,2700000000,,,,,,
Tor Peterson,57,2700000000,,,,,,
John Pritzker,68,2700000000,,,,,,
Hussain Sajwani,69,2700000000,,,,,,
Tseng Cheng,60,2400000000,,,,,,
Jerry Yang,53,2700000000,,,,,,
Takao Yasuda,73,2700000000,,,,,,
Yu Qibing & family,56,2200000000,,,,,,
Zhang Xuezheng,47,1500000000,,,,,,
Isak Andic & family,68,2400000000,,,,,,
Harindarpal Banga,71,2600000000,,,,,,
Anne Beaufour,58,2400000000,,,,,,
Henri Beaufour,57,2400000000,,,,,,
Sanjeev Bikhchandani,58,2200000000,,,,,,
Norman Braman,89,2600000000,,,,,,
J. Hyatt Brown,84,2400000000,,,,,,
Chen Lip Keong,74,2800000000,,,,,,
Jim Coulter,62,2600000000,,,,,,
Federico De Nora,54,2500000000,,,,,,
Dong Wei,51,2100000000,,,,,,
Sandeep Engineer,61,2300000000,,,,,,
Alceu Elias Feldmann,72,2700000000,,,,,,
"Frank Fertitta, III.",60,2500000000,,,,,,
Lorenzo Fertitta,53,2500000000,,,,,,
Doris Fisher,90,2400000000,,,,,,
Alec Gores,69,2500000000,,,,,,
Rajinder Gupta,63,2200000000,,,,,,
Igor Kesaev,55,3400000000,,,,,,
Raj Kumar & Kishin RK,68,2600000000,,,,,,
Li Hongxin & family,69,2500000000,,,,,,
Lu Zhongfang,79,2000000000,,,,,,
Nirmal Minda,64,2300000000,,,,,,
Farhad Moshiri,67,3000000000,,,,,,
Hans Georg Naeder,60,2500000000,,,,,,
Eren Ozmen,63,2600000000,,,,,,
Ronald Perelman,79,2600000000,,,,,,
Ravi Pillai,68,2500000000,,,,,,
Daniel Pritzker,62,2600000000,,,,,,
Matthias Reinhart,62,2400000000,,,,,,
Alejandro Santo Domingo,45,2500000000,,,,,,
Vivek Chaand Sehgal,65,2600000000,,,,,,
Kavitark Ram Shriram,65,2500000000,,,,,,
Hans Sy,66,2500000000,,,,,,
Herbert Sy,65,2500000000,,,,,,
Tahir & family,70,2400000000,,,,,,
Wang Linpeng,54,2500000000,,,,,,
David Wertheim,64,2500000000,,,,,,
Oprah Winfrey,68,2600000000,,,,,,
Xingming Zhu,55,2500000000,,,,,,
Suhail Bahwan,83,2500000000,,,,,,
David Baszucki,59,1900000000,,,,,,
Thor Bjorgolfsson,55,2500000000,,,,,,
Charles Bronfman,90,2500000000,,,,,,
Chen Tei-fu,74,2500000000,,,,,,
Chuchat Petaumpai & Daonapa Petampai,69,2300000000,,,,,,
Leon G. Cooperman,79,2500000000,,,,,,
Smita Crishna-Godrej,71,2500000000,,,,,,
Jacques D'Amours,65,2900000000,,,,,,
Maria Del Pino,66,2400000000,,,,,,
Gerald Ford,77,2500000000,,,,,,
Adi Godrej,80,2500000000,,,,,,
Jamshyd Godrej,73,2500000000,,,,,,
Nadir Godrej,71,2500000000,,,,,,
Sanjiv Goenka,61,2400000000,,,,,,
Stein Erik Hagen,65,2400000000,,,,,,
Donald Horton & family,72,2400000000,,,,,,
Hu Yangzhong,57,1800000000,,,,,,
Baba Kalyani,73,2600000000,,,,,,
Stephen Lansdown,69,2400000000,,,,,,
Mark Leonard & family,66,2400000000,,,,,,
William Li,47,2700000000,,,,,,
K.C. Liu,68,2400000000,,,,,,
Liu Xiaodong,54,2200000000,,,,,,
Aloke Lohia,63,2700000000,,,,,,
Mohamed Mansour,74,2500000000,,,,,,
Kishore Mariwala,87,2500000000,,,,,,
Jed McCaleb,47,2200000000,,,,,,
Enhua Mi,64,2400000000,,,,,,
Willy Michel,75,2200000000,,,,,,
Lachhman Das Mittal,91,2400000000,,,,,,
Ravi Modi,45,3000000000,,,,,,
Charles Munger,98,2400000000,,,,,,
Rishad Naoroji,70,2500000000,,,,,,
Yongpei Ni & family,70,2100000000,,,,,,
